"id","latitude","longitude","name","light","number","address","activate","no_available","total_bases","dock_bikes","free_bases","reservations_count"
1,"40.4168961","-3.7024255","Puerta del Sol A",2,"1a","Puerta del Sol nº 1",1,0,24,9,13,0
2,"40.4170009","-3.7024207","Puerta del Sol B",0,"1b","Puerta del Sol nº 1",1,0,24,7,17,0
3,"40.4205886","-3.7058415","Miguel Moya",0,"2","Calle Miguel Moya nº 1",1,0,24,5,19,0
4,"40.4302937","-3.7069171","Plaza Conde Suchil",2,"3","Plaza del Conde Suchil nº 2-4",1,0,18,11,7,0
5,"40.4285524","-3.7025875","Malasaña",0,"4","Calle Manuela Malasaña nº 5",1,0,24,1,22,0
6,"40.4285280","-3.7020599","Fuencarral",2,"5","Calle Fuencarral nº 108",1,0,27,9,17,0
7,"40.4241480","-3.6984470","Colegio Arquitectos",0,"6","Calle Hortaleza nº 63",1,0,24,4,19,0
8,"40.4251906","-3.6977715","Hortaleza",2,"7","Calle Hortaleza nº 75",1,0,21,8,9,0
9,"40.4278682","-3.6954403","Alonso Martínez",0,"8","Plaza de Alonso Martínez nº 5",1,0,24,5,17,0
10,"40.4156057","-3.7095084","Plaza de San Miguel",2,"9","Plaza de San Miguel nº 9",1,0,24,9,13,0
11,"40.4250863","-3.6918807","Marqués de la Ensenada",0,"10","Calle Marqués de la Ensenada nº 16",1,0,24,7,16,0
12,"40.4269483","-3.7035918","San Andrés",2,"11","Calle San Andrés nº 18",1,0,24,8,15,0
13,"40.4284246","-3.7061931","San Hermenegildo",0,"12","Calle San Bernardo nº 85",1,0,24,4,18,0
14,"40.4273264","-3.7104417","Conde Duque",0,"13","Calle Conde Duque nº 22",1,0,24,6,18,0
15,"40.4260957","-3.7134790","Ventura Rodríguez",2,"14","Calle Ventura Rodríguez nº 2",1,0,24,11,9,0
16,"40.4261649","-3.7073764","San Vicente Ferrer",2,"15","Calle San Vicente Ferrer nº 64",1,0,21,7,14,0
17,"40.4230721","-3.7075065","San Bernardo",2,"16","Calle San Bernardo nº 22",1,0,21,12,9,1
