"Usuario","Modelo","valoracion"
"2","10",4
"2","47",4
"2","50",4
"2","110",4
"2","150",5
"2","153",4
"2","165",3
"2","253",4
"2","296",4
"2","356",3
"2","364",3
"2","367",3
"2","377",3
"2","457",3
"2","480",4
"2","500",4
"2","527",4
"2","539",3
"2","586",3
"2","587",3
"2","588",3
"2","589",5
"2","590",5
"2","592",5
"2","593",3
"3","110",4
"3","296",4.5
"3","318",5
"3","356",5
"3","377",2.5
"3","527",3
"3","588",3
"3","592",3
"3","593",3
"3","595",2
"3","736",3.5
"3","1197",5
"3","1210",3
"3","1580",3.5
"3","1721",4.5
"3","2028",4
"3","2716",3
"3","2762",3.5
"3","2858",4
"3","2959",5
"3","5349",3
"3","7153",2.5
"4","10",4
"4","34",5
"4","153",4
"4","260",5
"4","296",5
"4","356",5
"4","364",5
"4","367",4
"4","380",3
"4","480",5
"4","541",5
"4","588",5
"4","589",5
"4","590",3
"4","858",5
"4","1036",5
"4","1073",5
"4","1089",5
"4","1097",5
"4","1136",5
"4","1196",5
"4","1197",5
"4","1198",5
"4","1200",5
"4","1210",5
"4","1214",5
"4","1240",5
"4","1265",5
"4","1270",5
"4","1291",5
"4","1580",5
"4","2628",5
"4","2716",5
"4","2918",5
"5","150",4
"5","231",3.5
"5","344",3.5
"5","356",4
"5","364",4
"5","367",4
"5","377",4
"5","500",4.5
"5","586",4
"5","588",3.5
"5","595",4
"5","597",5
"5","858",2.5
"5","1193",3
"5","1682",4
"5","1721",4
"5","1923",4.5
"5","2762",3.5
"5","2918",3.5
"5","4306",3.5
"5","4963",3
"5","5349",4.5
"7","1",3
"7","10",3
"7","34",4
"7","110",5
"7","260",5
"7","316",2
"7","318",5
"7","356",3
"7","364",3
"7","367",3
"7","377",3
"7","380",4
"7","480",4
"7","500",3
"7","539",3
"7","541",4
"7","588",4
"7","589",3
"7","590",4
"7","592",3
"7","595",3
"7","736",1
"7","780",3
"7","1036",3
"7","1073",3
"7","1097",3
"7","1136",4
"7","1196",5
"7","1197",3
"7","1198",5
"7","1210",5
"7","1240",4
"7","1270",3
"7","1291",3
"8","32",5
"8","47",5
"8","50",5
"8","110",4
"8","260",3.5
"8","296",4
"8","318",5
"8","356",4
"8","457",4.5
"8","527",5
"8","589",4
"8","593",4.5
"8","858",5
"8","1196",3.5
"8","1197",4
"8","1198",4
"8","1210",4
"8","1265",3
"8","1270",4
"8","1291",4
"8","1704",4
"8","2028",4
"8","2571",5
"8","2716",3.5
"8","2762",4.5
"8","2858",4.5
"8","2918",5
"8","2959",4
"8","3578",5
"8","4886",3.5
"8","4963",4.5
"8","4993",3.5
"8","5952",4
"8","7153",4
"10","50",5
"10","318",4
"10","344",3
"10","592",3
"10","1036",3
"10","1089",3
"10","1196",4
"10","1197",4
"10","1198",4
"10","1200",4
"10","1210",4
"10","1240",4
"10","1291",4
"10","1704",4
"10","1923",5
"10","2571",5
"13","1",5
"13","47",2.5
"13","110",4
"13","296",3.5
"13","318",4.5
"13","356",5
"13","480",3
"13","527",4
"13","587",3
"13","590",4
"13","1265",2.5
"13","2571",3
"13","2762",3
"13","2918",3
"13","4306",4
"13","4886",3.5
"13","4993",4.5
"15","1",2
"15","10",3
"15","32",4
"15","34",3
"15","47",5
"15","50",5
"15","110",3
"15","150",3
"15","153",1
"15","165",3
"15","231",3.5
"15","253",2
"15","260",5
"15","293",5
"15","296",5
"15","316",3
"15","318",2
"15","344",2
"15","356",1
"15","364",4
"15","367",2
"15","377",4
"15","380",4
"15","457",5
"15","480",3
"15","500",3
"15","527",4
"15","539",2
"15","541",5
"15","586",2
"15","587",1
"15","588",0.5
"15","589",4
"15","590",3
"15","592",4
"15","593",5
"15","597",2.5
"15","608",5
"15","648",4
"15","736",1
"15","780",2.5
"15","858",5
"15","1036",4
"15","1073",3
"15","1089",4
"15","1097",4
"15","1136",2.5
"15","1193",5
"15","1196",5
"15","1197",1
"15","1198",4
"15","1200",4
"15","1210",5
"15","1214",4
"15","1240",3
"15","1265",4
"15","1270",5
"15","1291",4
"15","1580",4
"15","1682",2
"15","1704",4
"15","1721",1.5
"15","1923",4.5
"15","2028",3
"15","2571",5
"15","2628",2.5
"15","2716",4
"15","2762",1
"15","2858",4
"15","2918",4
"15","2959",5
"15","3578",2
"15","4306",1
"15","4886",5
"15","4963",4
"15","4993",5
"15","5349",1
"15","5952",5
"15","6539",3.5
"15","7153",1.5
"15","8961",2
"17","32",4.5
"17","47",5
"17","50",5
"17","260",3.5
"17","293",4
"17","296",5
"17","318",5
"17","356",2.5
"17","377",0.5
"17","480",0.5
"17","527",4
"17","541",5
"17","590",3
"17","593",4.5
"17","608",3.5
"17","736",2.5
"17","858",5
"17","1036",2.5
"17","1089",5
"17","1136",5
"17","1193",4.5
"17","1210",3.5
"17","1240",3
"17","1265",4.5
"17","1270",4.5
"17","1580",2.5
"17","1704",4
"17","1721",0.5
"17","1923",3
"17","2028",3.5
"17","2571",5
"17","2762",4.5
"17","2858",4.5
"17","2918",3
"17","2959",5
"17","3578",4
"17","4306",3.5
"17","4886",3.5
"17","4963",4
"17","4993",4.5
"17","5349",1.5
"17","5952",4.5
"17","7153",4.5
"19","1",3
"19","10",3
"19","32",3
"19","34",4
"19","47",5
"19","50",4
"19","110",3
"19","150",3
"19","153",3
"19","165",3
"19","231",3
"19","253",3
"19","260",4
"19","293",4
"19","296",5
"19","316",3
"19","318",4
"19","344",3
"19","356",5
"19","364",3
"19","367",3
"19","377",3
"19","380",3
"19","457",4
"19","480",4
"19","500",3
"19","527",4
"19","541",4
"19","586",3
"19","588",3
"19","589",3
"19","590",3
"19","592",4
"19","593",3
"19","595",5
"19","597",3
"19","608",5
